 âba _babalar pederler 
 abd _  kul, köle, hizmetçi.  
 tahrifât _  bir şeyin aslını bozmalar, değiştirmeler.  
 tahrik _  harekete geçirme; kışkırtma.  
 tahrim _  haram kılma. Yasaklama.  
 tahrip _  yıkma, bozma, harap etme, yok etme.  
 tahrir _  yazmak.  
 tahsis-i taabbüd _  kulluğu sadece. bir kimseye âit kılmak.  
 tahsil _  gelir elde etme, hâsıl etme, elde etme, meydana getirme, kazanma.  
 tahsin _  beğenmek ve alkışlamak güzelleştirmek, iyi ve güzel bulmak 
 tahsinât _  alkışlamalar, beğenmeler.  
 tahsis _  bir kimseye ve bir şeye âit kılma; bir şeye veya bir kimseye bir özellik kazandırma.  
 tahşid _  yığma, toplama, biriktirme, kuvvetlendirme, destekleme; siper olma, yardım etme.  
 tahşidât _  toplamalar" yığmalar, bir şeyin üzerinde fazla durmak.  
 taht _  alt, aşağı; hükümdarların oturduğu büyük koltuk.  
 taht-ı Belkıs _  Süleyman (a s. ) zamanında, Yemen'de Sebe şehrinde hükümet süren Himyerilerden bir kraliçe olan Belkıs'ın tahtı.  
 taht-ı emir _  emir ve irâde altında.  
 taht-ı emr _  emir altında; Cenâb-ı Hakkın zatına mahsus emir dâiresi.  
 taht-ı hükm _  hüküm ve idâre altında.  
 taht-ı nezaret _  nezâret ve gözetim altında.  
 taht-ı riyâset _  başkanlık altı.  
 taht-ı saltanat _  saltanât tahtı; hükmetme makâmı.  
 taht-ı tasarruf _  idâre ve tassarrufta bulunma tahtı.  
 taht-ı tasdik _  tasdik tahtı.  
 taht-ı tedbîr _  idâre ve terbiye altı.  
 tahte'l-arz _  yerin altı.  
 tahte'l-bahir _  denizaltı gemileri.  
 tahte'z·zemin _  zemin altı. Yeraltı.  
 tahtiyet _  alt taraf, altta oluş.  
 tahvil _  değiştirme, çevirme.  
 tahvil-i mekan _  mekân değişmesi. Başka bir mekâna geçmek.  
 tahvilat _  değiştirmeler, halden hale getirmeler.  
 tâife _  kavim, kabîle, millet, topluluk, takım, hususî bir sınıf meydana getiren insanlar.  
 tâife-i mahlukat _  yaratıklar tâifesi.  
 tâife-i nisâ _  kadınlar tâifesi, hanımlar grubu.  
 takaddüs _  çok temiz olmak, mukaddes olmak, kusur ve eksikten beri olmak 
 takarrüb _  yaklaşma.  
 takarrür _  yerleşme, kararlaşma.  
 takat _  güç, derman, kuvvet.  
 takattür _  damlamak, damla damla olmak.  
 takayyüd _  kayıtlı olma hâli.  
 takbih _  çirkin görmek beğenmemek, kabahatli bulmak, kötü gördüğünü bildiren söz söylemek.  
 takdir-i İlâhiye _  Allah'ın takdiri, Allah'ın programlaması.  
 takdîs _  mukaddes (kudsi) bilme. Allah'ı noksan ve kusurlardan pâk ve yüce kabul etmek.  
 takdisat _  Allah'ın kusursuz ve her bakımdan eksiksiz olduğunu bildirmeler, söylemeler.  
 takdim _  sunma, sunuş 
 takdir _  kıymet vermek; değerini, lüzumunu anlamak; İzn-i ilâhî ile bir nizam verilmesi.  
 takdirkârâne _  takdir ederek.  
 takliden _  taklit ederek.  
 taklil _  azaltma, azaltılma, indirme; azlık.  
 taklidi îman _  başkalarını taklit ederek meydana gelen, az şüphelere bile dayanamayan îman 
 taklit _  benzetmeye ve benzemeye çalışmak, benzerini yapmak, birine benzemeye çalışmak.  
 taklitgâh _  taklit yapılan yer.  
 takrib _  yaklaştırma.  
 takrîben _  yaklaşık olarak.  
 takrir _  iyi ifâde etmek, bildirmek ağzından anlatmak, yerleştirmek, kararlaştırmak, yerini belirtmek.  
 taksim _  bölmek, paylaştırmak, kısımlara ayırmak.  
 taksimât _  bölmeler, kısımlara ayırmalar.  
 taksimü'l-a'mâl _  işbölümü.  
 takvâ _  bütün günahlardan kendini korumak, dinin yasak ettiğinden veya haram olduğundan şüphe edilen şeylerden çekinmek.  
 takvâ-i kâmile _  Allah korkusuyla yaşayıp emir ve yasaklarına harfiyyen uymak.  
 takvîm _  düzeltme, doğrultma, kıvamına koyma, eğriyi doğru tutma, ta'dil etme, bir şeye kıymet tâyin etmek; zamanı, mühim günleri;gösteren; kısa bilgiler ihtivâ eden liste.  
 takviye _  destekleme, kuvvetlendirme.  
 talâk _  boşamak, nikâhlı karısını bırakmak.  
 tâlân _  yağma, birisinin malının herkes ,tarafından kapışılması.  
 taleb-i hakikat _  hakîkati isteme, arzu etme.  
 taleb-i Rü'yet _  Allah'ı görmeyi istemek.  
 taleb-i tezyin _  süsleme isteği.  
 talep _ istek.  
 tâlib-i hakikat _  gerçeği arayan, hakikate talib olan.  
 tâlik _  asmak, geciktirmek, bağlamak, bir zaman bıraktırmak.  
 tâlim _ eğitim, öğretim.  
 tâlim-i esmâ _  isimleri öğretmek.  
 tâlim-i nazariyât _  teorik bilgileri öğrenme.  
 tâlimât _  tâlimler, eğitimler; bir iş hakkında hareket tarzını bildiren emirler.  
 tâlimgâh _  eğitim alanı.  
 talimgâh-ı beşer _  insanların eğitim gördüğü yer.  
 tâlip _  isteyen, talep eden. , arzulayan  
 tallük _ bağlılık, münâsebet.  
 taltif _ lütuf ve ihsanda bulunma; ödüllendirme.  
 taltifât _ taltifler, lütufta bulunmalar.  
 tâmim _  umumileştirme, herkese duyurma.  
 tansif _ yarı yarıya bölmek, ayırmak.  
 tanzir _ benzetme. Benzetilme. Sızma, sızıntı.  
 tanzim _  nizâma sokma, düzene koyma, sıralama, düzenleme.  
 tanzimât _  düzenlemeler, tanzîm etmeler.  
 târümâr _  dağınık, karmakarışık, perişan 
 taraf-ı ilâhi _  Allah tarafı.  
 taraf-ı muhâlif _  muhâlif taraf.  
 tarafgir _  taraf tutan.  
 tarassud _  gözetleme.  
 tarassudât-ı semâviye _  rasathânelerle gökleri inceleme.  
 tarâvet _  tazelik, körpelik.  
 tarâvettar _ taze, eskimemiş, tazece.  
 tard _  kovma.  
 tarfetü'l-ayn _  göz yumup açma.  
 tarik _ yol, tarz, usul, vâsıta, meslek.  
 tarîk-ı cehriye _  açık olarak ve yüksek sesle zikir eden tarîkat.  
 tarik -ı iman _  iman yolu.  
 tarik-ı isyan _  isyan yolu.  
 tarîk-ı kemâlât _  olgunlaşmanın yolu.  
 tarik -ı Kur'ân _  Kur'ân yolu.  
 tarik-ı Nakşî _  şeyh Bahaûddin Nakş Bendi nâmındaki büyük bir velinin kurduğu ve daha çok gizli zikre dayanan tarikat.  
 tarik-ı ubudiyet _  kulluk yolu.  
 tarik-ı uhrevî _  âhiret revakı, âhirete açılan yer, mezar.  
 tarikat _  yol, mânevi yol; kalbi dünyanın fani işlerinden ayırıp Allah sevgisi ile bağlamak.  
 târif _  bir şeyi belli noktalar ve işaretlerle inceden inceye anlatıp tanıtmak; tanım.  
 târifât _ târifler, tanıtmalar.  
 tarih-i beşer _  insanlık tarihi. tarih-i hayat; hayat tarihi.  
 tarihçe-i hayat _  biyografi, hayat tarihi, bir kişi veya varlığın var oluşundan ölümüne kadar geçirdiği hadiseler toplamı.  
 tarihvâri _  tarihe benzer, tarih gibi.  
 tarraka _  gümbürtü.  
 tarz _  usul, yol, şekil, üslûp.  
 tarz -ı beyân _  açıklama şekli.  
 tarz -ı hayat _  hayat tarzı.  
 tarz -ı hayat-ı içtimaiye _  içtimâî hayat tarzı.  
 tarz -ı ifâde _  anlatım şekli.  
 tarz -ı maişet _  yaşama tarzı, geçim şekli, çalışma biçimi.  
 tarz -ı nazar _  bakış tarzı.  
 tarz -ı tesbihat _  tesbihat usulü, Allah'ı tesbih etme şekli.  
 tarz-ı teşkilât _  meydana gelme tarzı.  
 tarz-ı tezkir _  hatırlatma, anlatma tarzı.  
 tarz-ı vahdet _  birleştirilmiş, yek vücud olmuş hal.  
 tarz-ı vazife _  vazifenin tarzı.  
 tasaffi _  saflaşma, temizlenme, durulaşma.  
 tasallüb _  sertleşme. Kuvvetlenme 
 tasallut _  birini rahatsız etme, musallat olma, hükmü altına girme, tahakküm.  
 tasannu _  yapmacık hareket, zorla bir şeyi daha iyi göstermeye çalışma.  
 tasannuâ _  yapmacık hareketler.  
 tasarruf _  birşeyin sahibi olup idâre etme, mülkünü istediği gibi kullanma.  
 tasarruf-u İlâhi _  Allah'ın idâresi ve faaliyeti.  
 tasarrufât _  tasarruflar, idâreyle kullanmalar 
 tasarrufât-ı azime _  büyük tasarruflar.  
 tasarrufât-ı azime-i bahariye _  bahar mevsimindeki büyük tasarruflar, icraatlar, faaliyetler.  
 tasarrufât-ı azime-i yevmiye _  her gün meydana gelen büyük icraatlar, İlâhi faaliyetler.  
 tasarrufât-ı celâliye _  Allah'ın celâl sıfatının tezâhürü olan icraatlar.  
 tasarrufât-ı gaybiye _  gaybî tasarruflar.  
 tasarrufât-ı hakimâne _  hikmetli tasarruflar.  
 tasarrufât-ı İlâhiye _  Allah'ın kudretiyle yaptığı işler, fiiller, tasarruflar.  
 tasarrufât-ı kudret _  Cenâb-ı Allah'ın kudretiyle istediği işi gördürme.  
 tasarrufât-ı kudret-i İlâhiye _  Allah'ın kudretiyle yaptığı işler, fiiller, tasarruflar.  
 tasarrufât-ı muntazama-i acibe _  hayret. verici ve düzenli olan tasarruflar, işler, fiiller.  
 tasarrufât-i Rabbâniye _  her şeyi terbiye eden Allah'ın irâdesi ve kullanma 
 tasarrufât-ı Rub(biyet _  Allah'ın, Rab olması itibâriyle yaptığı tasarruf ve irâdeler.  
 tasavvur _  birşeyi zihinde şekillendirme; düşünce, tasarı; tasarlama.  
 tasavvur-u dalâlet _  sapıklığı tasavvur etmek.  
 tasavvur-u vahiy _  vahyi düşünmek.  
 tasavvur-u zevâl _  yokluğunu tasavvur etme 
 tasavvurât _  düşünceler.  
 tasavvurât-ı insâniye _  insanın fikir ve düşünceleri tasavvurları.  
 tasavvuren _  tasavvur olarak, zihinde tasarlamak suretiyle.  
 tasdik _  onaylama, doğrulama.  
 tasdik-ı akli _  aklın kabul edip doğrulaması.  
 tasfiye _  sâfîleştirme, arıtma, arındırma, temizleme 
 tashih _  düzeltmek. Yanlışlardan arındırmak.  
 tâsia _  dokuzuncu; sâminenin altmışta biri.  
 taslit _  birine başka birini bela etmek, sataştırmak.  
 tasniât _  düzmeler, uydurmalar, yakıştırmalar.  
 tasrif _  istediği şekilde kullanmak ve idâre etmek.  
 tasrif-i hava _  havanın idaresi ve kullanılması.  
 tasrih _  belirtmek, açık açık anlatmak.  
 tasrihât _  açık açık anlatmalar, îzah etmeler.  
 tasvip _  uygun ve doğru bulma.  
 tasvir _  bir şeyi söz veya yazı ile ifade etmek, bir şeye şekil vermek; bir şeyin özelliklerini anlatarak, gözönünde canlandırma.  
 tasvirât _  tasvirler.  
 tatbik _  yerine getirme, îfâ etme.  
 tatbik-i amel _  amelin tatbiki, uygulaması.  
 tathir _  temizleme, yıkayıp pâk etme.  
 ta'til _  çalışmaya ara vermek, izine başlamak, kesmek, muattal bırakmak; Allah'ın sıfatlarını inkâr etmek.  
 tatlik _  boşamak, nikâh feshetmek.  
 tatmin _  iknâ etmek, doyurma, ihtiyacını karşılama.  
 tatminkâr _  doyurucu, yeterli.  
 tâun _  vebâ denen dehşetli bir bulaşıcı hastalık; salgın hastalık.  
 tâun-u mânevi _  mânevi bir vebâ.  
 tavaggul _  fazla meşguliyet, çok uğraşmak.  
 tavâif-i mevcûdât _  eşyanın, mevcudatın türleri, nevileri; çeşitleri.  
 tavassut _  aracılık, vâsıtalık.  
 tavattun _  vatan tutmak;. yer edinmek, kalmak.  
 tavla _  zar ve pullarla. oynanan oyun, kumar; ahır.  
 tavren _  hareket olarak, davranış olarak, tavırla.  
 tavsif _  vasıflandırma, birşeyin içyüzü ve özelliklerini anlatma.  
 tavsifât _ tavsifler, vasıflandırmalar.  
 tavsifât-ı Rabbâniye _  Cenâb-ı Hakkın vasıflandırarak bahsetmesi.  
 tavus _  çok süslü bir kuş.  
 tavzif _  görevlendirme, vazifelendirme.  
 tavzih _ açıklamak, izah etmek.  
 tayerân (tayrân) _  uçmak, uçuş.  
 tâyin _ yerini belli etmek; belirli kılmak.  
 tâyinât _  askerde herkese verilen belirli rızık.  
 tayr-ı müsebbih _  tesbih eden kuş.  
 tayy _  sarmak, dürmek, atlamak, üzerinden geçmek.  
 tayy-ı merâtib _  mertebe ve dereceleri atlayarak, kestirmeden.  
 tayyâre _  uçak.  
 tayyâre-i beşer _  insanın yaptığı uçak.  
 tayyâre-misâl _  uçak gibi.  
 taayyün _  meydana çıkına, belirleme 
 taz'îf _  iki kat etmek, kat kat etmek, arttırmak, bir kat daha arttırmak, çoğaltmak.  
 tazammun _  içinde bulundurma, içine alma, kapsamak, ihtivâ etme, muhit olma.  
 tazarrû _  yakarış, kendi kusurlarını bilip kibirden vazgeçip tevâzu ile Allah'a yalvarma.  
 tazarrukârâne _  yalvarıp yakararak.  
 tâzib _  acı çektirme, sıkıntı verme, azap çektirme, incitmek 
 tâzim _  hürmet, büyük saydığına gösterecek sûrette güzel muâmelede bulunma.  
 tâziyâne-i tâzib _ acı çektirmenin eziyetlicesi.  
 tazyik _  daraltmak, sıkıştırmak, sıkıntı ve ıztırab vermek, zorlama, baskı.  
 tazyikât _  sıkıştırmalar, zor durumda bırakmalar.  
 tazyikât-ı dünyeviye _  dünyadaki baskılar,. zorlamalar, sıkıntılar, sıkıştırmalar.  
 te'dib _  edeplendirme, terbiye verme, cezalandırma, haddini bildirme.  
 te'kid _  kuvvetlendirme, sağlamlaştır-. ma.  
 te'nis-i ezhan _ zihinleri okşama.  
 teaddüd-ü gâyât _  gayelerin çok ve çeşitli olması.  
 teânuk _  birbirine sarılma.  
 teârûf _  bilinmek, tanınmak, mâlum hâle gelmek, tanışmak, birbirini tanımak.  
 teâvün _  yardım etme, yardımlaşma.  
 tebahhur _  buharlaşmak.  
 tebâi _  hakiki maksat olmayıp, dolayısıyla. olan 
 tebâiyet _  uyma, tâbi olma.  
 tebârüz _  belli olma, görünme, belirme.  
 tebâud _  uzaklaşmak.  
 tebâud-u acb _  acib bir uzaklaşma. Garip bir zıtlaşma.  
 tebdil _ değiştirme, değişiklik.  
 tebdil-i beden _  bedenin değiştirilmesi; beden değişikliği.  
 tebdil-i câme _  elbise değiştirme. Başka bir libas giyme.  
 tebdil-i diyar _  yer değiştirme 
 tebdil-i mekân _  yer değişikliği.  
 tebeddül _  başkalaşma, değişme.  
 tebeddülât _  değişiklikler, değişmeler.  
 tebeddülât-ı ahval _  hallerin değişmeleri.  
 tebei _  kasdi olmayan, tâbi olarak başkasının vücuduyla kâim olan, bağımsız olmayıp başkasına tâbi olarak.  
 teberrî _  arınma, uzaklaşma, temiz olma, sıyrılmak.  
 tebessüm _  gülümseme.  
 tebessümkârâne _  tebessüm ederek, gülümsercesine.  
 teb'id _  uzaklaştırma, huzurdan kovma.  
 teb'iz _  bölmek, bölük bölük etmek, bir kısma âit etmek.  
 tebligât _ tebliğler, ilânlar, bir emri veya haberi başkalarına. ulaştırmalar, bildirmeler.  
 tebliğ _ ulaştırmak,bildirmek peygamberlere mahsus beş. sıfâttan birisi olan, Allah'tan aldıkları emir ve kânunlârı insanlara aynen bildirme.  
 tebrie _  suçtan, şüpheden, zandan uzak olduğunu bildirme; temizliğini ve suçsuzluğunu ortaya çıkarma.  
 tebşir _  boş yere malını harcamak, dağıtmak, israf.  
 tecâhül _  bilmezlikten gelme,. bilmiyormuş gibi yapma.  
 tecâvüb _  cevaplaşma, birbirinin ihtiyaçlarına cevap verme, karşılıklı cevaplâşma 
 tecâvüz _  haddini aşma; söz veya hareketle ileri gitme, saldırma.  
 tecâvüzât _  haddi aşmalar, saldırılar, tecâvüzler.  
 tecdid _ yenileme, tâzeleme.  
 tecdid-i bîat _  bağlılık sözünü yenileme.  
 teceddüt _  tazelenme, yenilenme 
 tecelli _  görünme,. bilinme; Allah'ın her bir isminin mânâsını icrâ etmesi; Allah'ın Rezzak ismiyle rızık vermesi, Muhyî ismiyle diriltmesi, Şâfi ismiyle hastalara şifâ vermesi gibi.  
 tecelli-i aks _ yansımanın görüntüsü.  
 tecelli-i âzam _  en büyük görüntü. Muazzam, celâlli ve heybetli tecellî.  
 tecellî-i azamet-i kudret _  kudretin büyüklüğünün tecellisi.  
 tecelli-i Celâli _  Allah'ın celâli isim ve sıfatlarının tecellisi.  
 tecelli-i Cemâl _  cemâl tecellisi.  
 tecelli-i Cemâliye _  Allah'ın cemâli isim ve sıfâtlarının tecellisi.  
 tecelli-i Ehadiyet _  Allah'ın. her bir şeyde görünen birliğinin tecellisi.  
 tecellî-i îcad _  vücuda getirme.  
 tecellî-i İsm-i Âzam _  İsm-i Âzamın tecellisi 
 tecellî-i kudret _ . Kudret-i İlâhî'nin tecellisi, görünüşü.  
 tecelli-i kübrâ-i adl _  adâlet-i İlâhinin her vecihle tecelli etmesi.  
 tecelli-i merhamet _  acıma, merhamet etme duygusunun belirtisi.  
 tecelli-i muhabbet _  sevginin tecellisi, görüntüsü.  
 tecelli-i Rububiyet _  Rablığın tecellîsi.  
 tecelli-i sıfat _  İlâhi sıfatların tecellisi.  
 tecellî-i vahdet _  birlik tecellîleri. Tevhid mühürleri 
 tecellî-i vasi _  geniş manâdaki tecelli.  
 tecelli-i Zâti _  Allah'ın Zatının tecellî ve görüntüsü.  
 tecellidar _  görüntü veren, görüntülü.  
 tecelliyât _  görüntüler, tecellîler.  
 tecelliyât-ı celâliye _  Allah'ın büyüklüğünün tecellileri.  
 tecelliyât-ı Celâliye-i Sübhâniye _  kusur ve eksikten münezzeh olan Allah'ın celâl ve büyüklüğünün tecellileri.  
 tecelliyât-ı cemâliye _  Allah'ın cemal sıfatının tecellîleri.  
 tecelliyât-ı cemâliye-i celâliye _  Allah'ın cemal ve celal sıfatının tezâhürü olan tecelliler.  
 tecelliyât-ı esmâ _  isimlerin tecellileri, görüntüleri.  
 tecelliyât-ı esma-i İlâhiye _  Allah'ın isimlerinin tecellileri, akisleri.  
 tecelliyât-ı esmâiye _  Allah'ın isimlerinin tecellîleri.  
 tecelliyât-ı icâdiye _  yeniden yaratmanın tecellileri, belirtileri.  
 tecelliyât-ı İlâhiye _  ilâhi tecelliler. İlâhî lütufların tezâhürü 
 tecelliyât-ı kemâl _  mükemmelliklerin tecellileri; görüntüleri.  
 tecelliyât-ı kübrâ _  en büyük tecellîler.  
 tecelliyât-ı nurâniye _  parlak tecellîler.  
 tecelliyât-ı rahmet _  rahmet tecellîleri.  
 tecemmüd _  donma. Katılaşma.  
 tecerrüd _  sıyrılma, soyunma, çıplak olma.  
 tecessüm _  cisimleşme, maddeleşme, gizlice inceden inceye araştırma.  
 tecessüs _  gizlice araştırmak, iç yüzünü araştırmak.  
 tecezzi _  bölünme, parçalanma.  
 tecrid _  bir tarafta tutma, ayırma, yalnız başına bırakma.  
 tecrübe _  deneme, sınama, imtihan; görmüş geçirmişlik.  
 tecrübe-i hizmet _  hizmet tecrübesi.  
 tecrübe-i küfran _  tekrar ile yapılan nankörlükler.  
 tecziye _  cezalandırma.  
 teçhiz _  cihazlandırma, donatma, gereken şeyleri tamamlama.  
 teçhizât _  gerekli araç ve gereçlerle do· natımlar.  
 teçhizat-ı askeriye _  asker donatım.  
 tedâfü' _  müdafaa etme İtişip kakışma.  
 tedâhül _  iç içe olmak. Birbirine dahil olmak, içine karışma, müdahele.  
 tedâi _  çağrışım.  
 tedâi-yi efkâr _  bir fikrin veya şeyin başka bir fikri ve şeyi hatıra getirmesi, çağrışım.  
 tedârik _  ele geçirme, hazırlama, sağlama, temin etme, karşılama.  
 tedâvi _  iyileştirmek için bakmak.  
 tedbir _  bir şeyi temin edecek veya def edecek yol, idâre etme; maksada uygun olarak işi yürütme, kararlaştırma.  
 tedbir-i hükümet _ hükümetin tedbiri, hükümetin işleri önceden plânlayarak idare etmesi.  
 tedehhüş _  dehşete düşme, korkma, yılma, ürkme.  
 tedelli _  nazlanma, eğilme.  
 tedennî _  aşağı düşme, daha kötü bir dereceye düşme, alçalma.  
 tedenniyât _  alçalmalar, gerilemeler.  
 tedricen _  derece derece, yavaş yavaş, azar azar.  
 tedricî _  yavaş yavaş olan, derece derece yapılan.  
 tedvir _  evirip çevirme, döndürme, idâre etme 
 teellümat _  elem; keder, acı almalar, tasalanmalar.  
 teemmül _  iyice, etraflıca düşünmek; derin derin düşünmek.  
 teessür _  beğenmeme ve râzı olmadığını ifâde etme, eseflenme, üzülme.  
 teessür _  kederli ve üzüntülü olarak içlenmek, üzülmek, tesir altında kalmak, kederlenmek.  
 teessür ât _  teessürler, üzüntüler.  
 tefâvüt _  farklılık, iki şey arasındaki fark.  
 tefekkür _  düşünmek, derinlemesine, inceden inceye düşünme, fikretme.  
 tefekkür-ü dalâlet _ sapıklığı düşünmek, hak yoldan ayrılmayı teşekkür etmek.  
 tefekkürât _ tefekkürler, düşünmeler.  
 tefekküri _  fikrederek, düşünceye dalarak.  
 tefennün _ bir fende maharet sahibi olmak.  
 tefer'un _  firavunlaşma, iyilikleri netsine mal etme.  
 teferruat _  bir şeyin bütün incelikleri, ayrıntılar, detaylar.  
 teferrüh _  refah içinde yaşamak.  
 tefessüh _  bozulma, çürüme, kokup dağılma.  
 tefevvuk _  başkalarından üstün olma eğilimi; üstünlük, üstün olma, üstün gelme.  
 tefeyyüz _ feyiz alma, feyizlenme; bereketlenme ilerleme bollaşma ilim, irfan ve manevî zenginlik kazanma.  
 tefhim _ anlatma, bildirme, açıklama.  
 tefrigat _ boşaltma, yer açma.  
 tefrih _ ferahlandırma, gönül açma.  
 tefrik _  ayırt etme, ayırma.  
 tefriş _  döşeme, yayma, yayıp döşeme.  
 tefrit _  normalin altında kalmak, ifradın zıddı 
 tefsir _  açıklamak, Kur'ân'ın âyetlerini, kelime ve harflerini izah ve isbat etmek ve bu maksatla yazılan eser.  
 tefsir-i Arabi _  Arapça tefsir.  
 tefsir-i şerif _  şerefli ve mübârek tefsir. (Bak. tefsir).  
 tefsir-i vâzıh _  izah eden tefsir.  
 tefsir _  bir mânâyı açıklamak, Kur'ân-ı Kerîm'in cümle ve kelimelerini îzah ve isbat etmek ve bu maksatla yazılan eser.  
 teftiş _  kontrol etme.  
 tefviz _  işi Allah'a havâle etme 
 tegaddi-i hüceyrat _  beden hücrelerinin gıdalanması.  
 tagayyür _  başkalaşmak, değişmek, bozulmak.  
 tegayyürât-ı âlem _  âlemdeki değişme, gelişme ve başkalaşma 
 tegayyürât-ı sûriye _  görünüşteki değişmeler.  
 tegayyürât _  değişmeler, tagayyürler, başkalaşmalar.  
 tehalüf _  birbirine zıt olmak, birbirine uymamak.  
 tehannün _  çok arzu ve istek göstermek; merhametiyle nimetlendirme.  
 tehâsum _  husumet ve düşmanlık etme.  
 tehâvün _  mühimsememek, ehemmiyet vermemek, aldırış etmemek.  
 tehdidât _  tehditler.  
 tehdit _  hiddet etme, gözdağı verme, korkutma.  
 teheccüd _  gece bir müddet uyuduktan sonra kalkıp kılınan gece namaz, gece namazı.  
 teheyyüc _  heyecanlanma, coşma.  
 tehir _  sonraya bırakmak, ertelemek, geriye bırakma.  
 tehlil _  "Allah'tan başka hiç bir ilâh yoktur' mânâsındaki "Lâ ilâhe illâllah" cümlesini tekrar etmek.  
 tekabül _  karşılıklı olma. Yüzleşme.  
 tekâlif _  teklifler, yükümlülükler, vazifeler.  
 tekâlif-i Şer'iye _  şer-i teklifler. Şeriatın emirleri. Uymamız gereken İlâhi emirler.  
 tekâmül _  ilerleme, olgunlaşma.  
 tekârüb _  birbirine yaklaşma.  
 tekatu' _  kesişme.  
 tekavvüs _  kavisleşme,. eğilme, bükülme. Yay gibi.  
 tekbir _  "Allah en büyüktür" mânâsına gelen "Allahü Ekber" kelimesini söyleme.  
 tekebbür _  kibirlenme, kendini büyük sayma, nefsini büyük sayma.  
 tekeddür _  bulanıklık. Kederlilik.  
 tekellüf _  kendi isteğiyle külfete girmek, bir zorluğa katlanmak, gösterişe kapılmak, özenmek yapmacık hal ve hareket, zorakî hareket.  
 tekellüfât _  zorâki ve gösterişe kapılarak yapılan hareketler.  
 tekellüm _  konuşma, söyleme.  
 tekemmül _  mükemmel olma, tamamlama olgunlaşma, kemâle doğru gitmek.  
 tekemmül-ü zâti _  kendi kendine gelişen.  
 tekemmülât _  olgunlaşmalar, gelişmeler.  
 tekemmülât-ı insâniye _  insanların becerileriyle geliştirdikleri.  
 tekemmülât-ı ruhiye _  ruhen yükselmek.  
 tekerrür _  tekrarlamak.  
 tekerrür-ü ihtiyaç _  ihtiyacın tekrarlanması.  
 tekessür _  çoğalmak, kesretli olmak.  
 tekfir _  küfürle itham etmek.  
 teklif _  Allah'ın insanları, emir ve yasakları üzerine hareket etmeye vazifelendirmesi.  
 teklif-i dini _  dinin emir ve yasakları.  
 teklif-i İlâhiye _  Allah'ın teklif ve emirleri.  
 teklifât-ı İlâhiyye _  Allah'ın yüklediği vazifeler.  
 tekmil _  tamamlamak, kemale erdirmek, mükemmelleştirmek.  
 tekrar-ı âyet _  âyetin tekrarı.  
 tekrarât _  tekrarlar.  
 tekrir _  tekrarlamak.  
 teksir-i efrad _  fertlerin çoğaltılması.  
 tekvir _  yuvarlaklaştırmak, kıvırmak, sarmak, toplamak.  
 tekzib _  yalanlamak, bir işe inanmayıp inkâr etmek, yalan olduğunu söylemek.  
 tel'in _  lânetleme.  
 tel-i musiki _  müzik teli,. düzenli, âhenkli ve hoş ses çıkaran tel.  
 telâffuz _  söyleyiş, ifâde etme 
 telâfi _  tamamlamak. Eksiği gidermek 
 telâfif-i dimâğiye _  beynin kıvrımları.  
 telâhuk-u efkâr _  fikirlerin birbirine ilâve ve eklenmesi.  
 telâkkî _  anlama, anlayış, kabul etme.  
 telâkki-i bilkabul _  olduğu ve rivâyet edildiği gibi kabul. edilip inanılması.  
 telâtum _  vuruşma, çarpışma.  
 telebbüs _  giymek, giyinmek; iki şeyi birbirine benzeterek ayırdedememek, örtülü olmak.  
 telef _  yok olma, zâyi olma.  
 televvüs _  kirletmek, pislenmek, bulaşıp murdar olmak.  
 telezzüz _  lezzetlenmek, tat ve zevk almak, zevklenmek.  
 telezzüzât _  telezzüzler, lezzet almalar.  
 telif _  eser yazmak·kitap yazmak.  
 telkih _  aşılama, aşı, cinsinin üremesini sağlamak.  
 telkin _  fikir aşılamak, öğüt vermek, zihinde yer ettirme.  
 telkinât-ı şeytaniye _  şeytanın telkinleri.  
 telvih _  açıklama, izah etme.  
 telvihât _  kinâyeli açıklamalar.  
 telvis _  kirletmek, pisletmek, bulaştırmak.  
 telyin-i hadid _  demirin yumuşatılması, eritilmesi.  
 telziz _  lezzetlenme. Lezzet alma.  
 temas _  değmek.  
 temâsül _  birbirine karşı olma, zıddıyla var olma.  
 temâşâ _  hoşlanarak bakmak, seyretmek, ibretle bakmak.  
 temâşâgâh-ı sanat-ı İlâhiye _  Allah'ın sanatlarına ibretle bakılan yer.  
 temâşâger _  seyirci, ibretle âlemi seyre çıkan.  
 temâyül _  meyletme, yönelme, eğilme.  
 temâyül-ü mizâc _  tarafdarlık duygusu. tarafgirlik huyu, mizâcı.  
 temeddüh _  kendi kendini övme, beğendirme; böbürlenme.  
 temekkün _  mekân tutmak.  
 temellük _  sahiplenmek, kendine mâl etmek.  
 temerküz _  bir yere toplanma; merkezleşme, birikme.  
 temerrüd _  inat etme, karşı koyma, hakkı kabulde direnmek.  
 temessük _ tutmak, sarılma. Sıkıca tutma.  
 temessül _  benzeşme, cisimleşme, şekillenme; birşeyin bir yerde suret ve mâhiyetini aksettirmesi.  
 temessül-ü ervâh _  ruhların bir yerde sûret. ve mâhiyetlerinin aksetmesi.  
 temessülât _  temessüller, benzeşmeler, cisimlenmeler.  
 temevvüc _  dalgalanma.  
 temeyyü _ sıvılaşma, erime.  
 temhîr _  mühürleme.  
 temin _  sağlamak.  
 temin-i âsâyiş _  güvenliğin temini.  
